customer_id,name,email,age,order_amount,signup_date,region,loyalty_tier
1,Customer_1,customer1@example.com,63.0,123.23,2024-01-01,North,Bronze
2,Customer_2,customer2@example.com,50.0,299.89,2024-01-03,West,Gold
3,Customer_3,customer3@example.com,48.0,163.95,2024-01-05,West,Bronze
4,Customer_4,customer4@example.com,54.0,101.73,2024-01-07,South,Silver
5,Customer_5,,51.0,75.14,2024-01-09,North,Bronze
6,Customer_6,customer6@example.com,64.0,117.8,2024-01-11,North,Bronze
7,Customer_7,customer7@example.com,47.0,263.52,2024-01-13,North,Gold
8,Customer_8,customer8@example.com,56.0,189.4,2024-01-15,West,Gold
9,Customer_9,customer9@example.com,75.0,6.41,2024-01-17,North,Silver
10,Customer_10,customer10@example.com,58.0,143.86,2024-01-19,East,Bronze
11,Customer_11,customer11@example.com,60.0,74.69,2024-01-21,North,Bronze
12,Customer_12,customer12@example.com,64.0,280.0,2024-01-23,East,Gold
13,Customer_13,customer13@example.com,51.0,62.56,2024-01-25,East,Bronze
14,Customer_14,customer14@example.com,46.0,111.5,2024-01-27,West,Bronze
15,Customer_15,customer15@example.com,56.0,69.81,2024-01-29,North,Bronze
16,Customer_16,customer16@example.com,57.0,207.05,2024-01-31,North,Gold
17,Customer_17,customer17@example.com,42.0,105.63,2024-02-02,North,Silver
18,Customer_18,customer18@example.com,58.0,113.97,2024-02-04,West,Silver
19,Customer_19,customer19@example.com,64.0,97.44,2024-02-06,West,Bronze
20,Customer_20,customer20@example.com,48.0,204.01,2024-02-08,East,Silver
21,Customer_21,customer21@example.com,58.0,121.47,2024-02-10,East,Gold
22,Customer_22,customer22@example.com,62.0,50.22,2024-02-12,East,Gold
23,Customer_23,customer23@example.com,60.0,47.2,2024-02-14,North,Silver
24,Customer_24,customer24@example.com,60.0,163.69,2024-02-16,West,Silver
25,Customer_25,customer25@example.com,53.0,60.69,2024-02-18,South,Bronze
26,Customer_26,customer26@example.com,46.0,145.56,2024-02-20,South,Silver
27,Customer_27,customer27@example.com,51.0,45.16,2024-02-22,South,Bronze
28,Customer_28,customer28@example.com,50.0,92.57,2024-02-24,North,Bronze
29,Customer_29,customer29@example.com,54.0,120.61,2024-02-26,North,Gold
30,Customer_30,customer30@example.com,64.0,40.52,2024-02-28,East,Gold
31,Customer_31,customer31@example.com,45.0,270.33,2024-03-01,North,Gold
32,Customer_32,,56.0,465.21,2024-03-03,East,Gold
33,Customer_33,customer33@example.com,46.0,204.24,2024-03-05,North,Silver
34,Customer_34,customer34@example.com,,164.65,2024-03-07,South,Gold
35,Customer_35,customer35@example.com,59.0,352.56,2024-03-09,North,Silver
36,Customer_36,customer36@example.com,45.0,268.6,2024-03-11,South,Gold
37,Customer_37,customer37@example.com,61.0,62.48,2024-03-13,East,Silver
38,Customer_38,customer38@example.com,44.0,79.65,2024-03-15,North,Bronze
39,Customer_39,customer39@example.com,60.0,157.94,2024-03-17,East,Silver
40,Customer_40,customer40@example.com,43.0,123.71,2024-03-19,South,Silver
41,Customer_41,,50.0,184.46,2024-03-21,East,Gold
42,Customer_42,customer42@example.com,70.0,329.69,2024-03-23,West,Silver
43,Customer_43,customer43@example.com,69.0,82.89,2024-03-25,East,Bronze
44,Customer_44,customer44@example.com,52.0,141.42,2024-03-27,North,Bronze
45,Customer_45,customer45@example.com,58.0,59.07,2024-03-29,North,Gold
46,Customer_46,customer46@example.com,65.0,146.05,2024-03-31,North,Bronze
47,Customer_47,customer47@example.com,60.0,40.86,2024-04-02,East,Silver
48,Customer_48,customer48@example.com,53.0,93.66,2024-04-04,North,Bronze
49,Customer_49,customer49@example.com,49.0,193.89,2024-04-06,South,Gold
50,Customer_50,,62.0,36.93,2024-04-08,East,Silver
51,Customer_51,customer51@example.com,64.0,261.12,2024-04-10,South,Gold
52,Customer_52,customer52@example.com,69.0,342.12,2024-04-12,East,Silver
53,Customer_53,customer53@example.com,42.0,240.67,2024-04-14,North,Bronze
54,Customer_54,customer54@example.com,45.0,280.39,2024-04-16,North,Gold
55,Customer_55,customer55@example.com,64.0,133.22,2024-04-18,East,Gold
56,Customer_56,customer56@example.com,43.0,215.89,2024-04-20,South,Silver
57,Customer_57,customer57@example.com,65.0,268.18,2024-04-22,East,Gold
58,Customer_58,customer58@example.com,53.0,148.78,2024-04-24,South,Silver
59,Customer_59,customer59@example.com,51.0,282.7,2024-04-26,North,Silver
60,Customer_60,customer60@example.com,57.0,195.03,2024-04-28,West,Silver
61,Customer_61,customer61@example.com,44.0,90.6,2024-04-30,East,Silver
62,Customer_62,customer62@example.com,62.0,89.21,2024-05-02,East,Bronze
63,Customer_63,customer63@example.com,69.0,127.83,2024-05-04,North,Silver
64,Customer_64,customer64@example.com,62.0,260.7,2024-05-06,East,Gold
65,Customer_65,customer65@example.com,53.0,210.42,2024-05-08,South,Bronze
66,Customer_66,customer66@example.com,43.0,51.38,2024-05-10,North,Gold
67,Customer_67,customer67@example.com,43.0,353.92,2024-05-12,West,Bronze
68,Customer_68,customer68@example.com,44.0,345.52,2024-05-14,North,Silver
69,Customer_69,customer69@example.com,55.0,51.43,2024-05-16,West,Bronze
70,Customer_70,customer70@example.com,56.0,166.21,2024-05-18,South,Bronze
71,Customer_71,customer71@example.com,62.0,133.06,2024-05-20,North,Gold
72,Customer_72,customer72@example.com,41.0,298.98,2024-05-22,South,Gold
73,Customer_73,customer73@example.com,65.0,57.82,2024-05-24,West,Silver
74,Customer_74,customer74@example.com,61.0,217.1,2024-05-26,East,Bronze
75,Customer_75,customer75@example.com,52.0,194.85,2024-05-28,West,Bronze
76,Customer_76,customer76@example.com,45.0,205.53,2024-05-30,East,Bronze
